image_path,blazer_color,tie_color,shoe_color,shirt_color,pant_color
./image_dataset\men_wearing_casual_blazer_with_jeans_with_green_tie_and_black_shoes\000003.jpg,casual,jeans with green tie,black shoes,black,white
./image_dataset\men_wearing_casual_blazer_with_jeans_with_green_tie_and_black_shoes\000004.jpg,casual,jeans with green tie,black shoes,beige,Blue
./image_dataset\men_wearing_casual_blazer_with_jeans_with_green_tie_and_black_shoes\000005.jpg,casual,jeans with green tie,black shoes,white,Blue
./image_dataset\men_wearing_casual_blazer_with_jeans_with_green_tie_and_brown_shoes\000001.jpg,casual,jeans with green tie,brown shoes,pale brown,Blue
./image_dataset\men_wearing_casual_blazer_with_jeans_with_green_tie_and_brown_shoes\000002.jpg,casual,jeans with green tie,brown shoes,baby pink,white
./image_dataset\men_wearing_casual_blazer_with_jeans_with_green_tie_and_brown_shoes\000003.jpg,casual,jeans with green tie,brown shoes,pale brown,baby pink
./image_dataset\men_wearing_casual_blazer_with_jeans_with_green_tie_and_brown_shoes\000004.jpg,casual,jeans with green tie,brown shoes,black,brown
./image_dataset\men_wearing_casual_blazer_with_jeans_with_green_tie_and_brown_shoes\000005.jpg,casual,jeans with green tie,brown shoes,black,white
./image_dataset\men_wearing_casual_blazer_with_jeans_with_green_tie_and_grey_shoes\000001.jpg,casual,jeans with green tie,grey shoes,black,brown
./image_dataset\men_wearing_casual_blazer_with_jeans_with_green_tie_and_grey_shoes\000002.jpg,casual,jeans with green tie,grey shoes,pale brown,baby pink
./image_dataset\men_wearing_casual_blazer_with_jeans_with_green_tie_and_grey_shoes\000003.jpg,casual,jeans with green tie,grey shoes,black,baby pink
./image_dataset\men_wearing_casual_blazer_with_jeans_with_green_tie_and_grey_shoes\000004.jpg,casual,jeans with green tie,grey shoes,beige,white
./image_dataset\men_wearing_casual_blazer_with_jeans_with_green_tie_and_grey_shoes\000005.jpg,casual,jeans with green tie,grey shoes,pale brown,black
./image_dataset\men_wearing_casual_blazer_with_jeans_with_green_tie_and_white_shoes\000001.jpg,casual,jeans with green tie,white shoes,baby pink,brown
./image_dataset\men_wearing_casual_blazer_with_jeans_with_green_tie_and_white_shoes\000002.jpg,casual,jeans with green tie,white shoes,baby pink,Blue
./image_dataset\men_wearing_casual_blazer_with_jeans_with_green_tie_and_white_shoes\000003.jpg,casual,jeans with green tie,white shoes,baby pink,brown
./image_dataset\men_wearing_casual_blazer_with_jeans_with_green_tie_and_white_shoes\000004.jpg,casual,jeans with green tie,white shoes,beige,baby pink
./image_dataset\men_wearing_casual_blazer_with_jeans_with_green_tie_and_white_shoes\000005.jpg,casual,jeans with green tie,white shoes,white,baby pink
./image_dataset\men_wearing_casual_blazer_with_jeans_with_grey_shoes\000001.jpg,casual,,jeans with grey shoes,black,white
./image_dataset\men_wearing_casual_blazer_with_jeans_with_grey_shoes\000002.jpg,casual,,jeans with grey shoes,beige,black
./image_dataset\men_wearing_casual_blazer_with_jeans_with_grey_shoes\000003.jpg,casual,,jeans with grey shoes,black,Blue
./image_dataset\men_wearing_casual_blazer_with_jeans_with_grey_shoes\000004.jpg,casual,,jeans with grey shoes,beige,brown
./image_dataset\men_wearing_casual_blazer_with_jeans_with_grey_shoes\000005.jpg,casual,,jeans with grey shoes,black,black
./image_dataset\men_wearing_casual_blazer_with_jeans_with_purple_tie\000001.jpg,casual,jeans with purple tie,,beige,Blue
./image_dataset\men_wearing_casual_blazer_with_jeans_with_purple_tie\000002.jpg,casual,jeans with purple tie,,white,baby pink
./image_dataset\men_wearing_casual_blazer_with_jeans_with_purple_tie\000003.jpg,casual,jeans with purple tie,,pale brown,baby pink
./image_dataset\men_wearing_casual_blazer_with_jeans_with_purple_tie\000004.jpg,casual,jeans with purple tie,,baby pink,white
./image_dataset\men_wearing_casual_blazer_with_jeans_with_purple_tie\000005.jpg,casual,jeans with purple tie,,black,white
./image_dataset\men_wearing_casual_blazer_with_jeans_with_purple_tie_and_beige_shoes\000001.jpg,casual,jeans with purple tie,beige shoes,beige,brown
./image_dataset\men_wearing_casual_blazer_with_jeans_with_purple_tie_and_beige_shoes\000002.jpg,casual,jeans with purple tie,beige shoes,white,black
./image_dataset\men_wearing_casual_blazer_with_jeans_with_purple_tie_and_beige_shoes\000003.jpg,casual,jeans with purple tie,beige shoes,white,black
./image_dataset\men_wearing_casual_blazer_with_jeans_with_purple_tie_and_beige_shoes\000004.jpg,casual,jeans with purple tie,beige shoes,baby pink,Blue
./image_dataset\men_wearing_casual_blazer_with_jeans_with_purple_tie_and_beige_shoes\000005.jpg,casual,jeans with purple tie,beige shoes,beige,brown
./image_dataset\men_wearing_casual_blazer_with_jeans_with_purple_tie_and_black_shoes\000001.jpg,casual,jeans with purple tie,black shoes,pale brown,white
./image_dataset\men_wearing_casual_blazer_with_jeans_with_purple_tie_and_black_shoes\000002.jpg,casual,jeans with purple tie,black shoes,black,brown
./image_dataset\men_wearing_casual_blazer_with_jeans_with_purple_tie_and_black_shoes\000003.jpg,casual,jeans with purple tie,black shoes,pale brown,baby pink
./image_dataset\men_wearing_casual_blazer_with_jeans_with_purple_tie_and_black_shoes\000004.jpg,casual,jeans with purple tie,black shoes,black,white
./image_dataset\men_wearing_casual_blazer_with_jeans_with_purple_tie_and_black_shoes\000005.jpg,casual,jeans with purple tie,black shoes,white,black
./image_dataset\men_wearing_casual_blazer_with_jeans_with_purple_tie_and_brown_shoes\000001.jpg,casual,jeans with purple tie,brown shoes,white,white
./image_dataset\men_wearing_casual_blazer_with_jeans_with_purple_tie_and_brown_shoes\000002.jpg,casual,jeans with purple tie,brown shoes,baby pink,baby pink
./image_dataset\men_wearing_casual_blazer_with_jeans_with_purple_tie_and_brown_shoes\000003.jpg,casual,jeans with purple tie,brown shoes,beige,white
./image_dataset\men_wearing_casual_blazer_with_jeans_with_purple_tie_and_brown_shoes\000004.jpg,casual,jeans with purple tie,brown shoes,black,black
./image_dataset\men_wearing_casual_blazer_with_jeans_with_purple_tie_and_brown_shoes\000005.png,casual,jeans with purple tie,brown shoes,black,baby pink
./image_dataset\men_wearing_casual_blazer_with_jeans_with_purple_tie_and_grey_shoes\000001.jpg,casual,jeans with purple tie,grey shoes,black,Blue
./image_dataset\men_wearing_casual_blazer_with_jeans_with_purple_tie_and_grey_shoes\000002.jpg,casual,jeans with purple tie,grey shoes,beige,brown
./image_dataset\men_wearing_casual_blazer_with_jeans_with_purple_tie_and_grey_shoes\000003.jpg,casual,jeans with purple tie,grey shoes,black,Blue
./image_dataset\men_wearing_casual_blazer_with_jeans_with_purple_tie_and_grey_shoes\000004.jpg,casual,jeans with purple tie,grey shoes,white,baby pink
./image_dataset\men_wearing_casual_blazer_with_jeans_with_purple_tie_and_grey_shoes\000005.jpg,casual,jeans with purple tie,grey shoes,beige,baby pink
./image_dataset\men_wearing_casual_blazer_with_jeans_with_purple_tie_and_white_shoes\000001.jpg,casual,jeans with purple tie,white shoes,black,baby pink
./image_dataset\men_wearing_casual_blazer_with_jeans_with_purple_tie_and_white_shoes\000002.jpg,casual,jeans with purple tie,white shoes,white,black
./image_dataset\men_wearing_casual_blazer_with_jeans_with_purple_tie_and_white_shoes\000003.jpg,casual,jeans with purple tie,white shoes,white,baby pink
./image_dataset\men_wearing_casual_blazer_with_jeans_with_purple_tie_and_white_shoes\000004.jpg,casual,jeans with purple tie,white shoes,black,brown
./image_dataset\men_wearing_casual_blazer_with_jeans_with_purple_tie_and_white_shoes\000005.jpg,casual,jeans with purple tie,white shoes,black,black
./image_dataset\men_wearing_casual_blazer_with_jeans_with_red_tie\000001.jpg,casual,jeans with red tie,,white,baby pink
./image_dataset\men_wearing_casual_blazer_with_jeans_with_red_tie\000002.jpg,casual,jeans with red tie,,baby pink,black
./image_dataset\men_wearing_casual_blazer_with_jeans_with_red_tie\000003.jpg,casual,jeans with red tie,,pale brown,brown
./image_dataset\men_wearing_casual_blazer_with_jeans_with_red_tie\000004.jpg,casual,jeans with red tie,,pale brown,brown
./image_dataset\men_wearing_casual_blazer_with_jeans_with_red_tie\000005.jpg,casual,jeans with red tie,,white,black
./image_dataset\men_wearing_casual_blazer_with_jeans_with_red_tie_and_beige_shoes\000001.jpg,casual,jeans with red tie,beige shoes,black,white
./image_dataset\men_wearing_casual_blazer_with_jeans_with_red_tie_and_beige_shoes\000002.jpg,casual,jeans with red tie,beige shoes,black,Blue
./image_dataset\men_wearing_casual_blazer_with_jeans_with_red_tie_and_beige_shoes\000003.jpg,casual,jeans with red tie,beige shoes,baby pink,baby pink
./image_dataset\men_wearing_casual_blazer_with_jeans_with_red_tie_and_beige_shoes\000004.jpg,casual,jeans with red tie,beige shoes,beige,Blue
./image_dataset\men_wearing_casual_blazer_with_jeans_with_red_tie_and_beige_shoes\000005.jpg,casual,jeans with red tie,beige shoes,white,brown
./image_dataset\men_wearing_casual_blazer_with_jeans_with_red_tie_and_black_shoes\000001.jpg,casual,jeans with red tie,black shoes,black,Blue
./image_dataset\men_wearing_casual_blazer_with_jeans_with_red_tie_and_black_shoes\000002.jpg,casual,jeans with red tie,black shoes,white,white
./image_dataset\men_wearing_casual_blazer_with_jeans_with_red_tie_and_black_shoes\000003.jpg,casual,jeans with red tie,black shoes,baby pink,Blue
./image_dataset\men_wearing_casual_blazer_with_jeans_with_red_tie_and_black_shoes\000004.jpg,casual,jeans with red tie,black shoes,black,Blue
./image_dataset\men_wearing_casual_blazer_with_jeans_with_red_tie_and_black_shoes\000005.jpg,casual,jeans with red tie,black shoes,baby pink,brown
./image_dataset\men_wearing_casual_blazer_with_jeans_with_red_tie_and_brown_shoes\000001.jpg,casual,jeans with red tie,brown shoes,baby pink,brown
./image_dataset\men_wearing_casual_blazer_with_jeans_with_red_tie_and_brown_shoes\000002.jpg,casual,jeans with red tie,brown shoes,baby pink,baby pink
./image_dataset\men_wearing_casual_blazer_with_jeans_with_red_tie_and_brown_shoes\000003.jpg,casual,jeans with red tie,brown shoes,black,black
./image_dataset\men_wearing_casual_blazer_with_jeans_with_red_tie_and_brown_shoes\000004.jpg,casual,jeans with red tie,brown shoes,baby pink,baby pink
./image_dataset\men_wearing_casual_blazer_with_jeans_with_red_tie_and_brown_shoes\000005.jpg,casual,jeans with red tie,brown shoes,black,brown
./image_dataset\men_wearing_casual_blazer_with_jeans_with_red_tie_and_grey_shoes\000001.jpg,casual,jeans with red tie,grey shoes,black,baby pink
./image_dataset\men_wearing_casual_blazer_with_jeans_with_red_tie_and_grey_shoes\000002.jpg,casual,jeans with red tie,grey shoes,black,Blue
./image_dataset\men_wearing_casual_blazer_with_jeans_with_red_tie_and_grey_shoes\000003.jpg,casual,jeans with red tie,grey shoes,beige,Blue
./image_dataset\men_wearing_casual_blazer_with_jeans_with_red_tie_and_grey_shoes\000004.jpg,casual,jeans with red tie,grey shoes,baby pink,brown
./image_dataset\men_wearing_casual_blazer_with_jeans_with_red_tie_and_grey_shoes\000005.jpg,casual,jeans with red tie,grey shoes,black,brown
./image_dataset\men_wearing_casual_blazer_with_jeans_with_red_tie_and_white_shoes\000001.jpg,casual,jeans with red tie,white shoes,beige,baby pink
./image_dataset\men_wearing_casual_blazer_with_jeans_with_red_tie_and_white_shoes\000002.jpg,casual,jeans with red tie,white shoes,baby pink,baby pink
./image_dataset\men_wearing_casual_blazer_with_jeans_with_red_tie_and_white_shoes\000003.jpg,casual,jeans with red tie,white shoes,baby pink,Blue
./image_dataset\men_wearing_casual_blazer_with_jeans_with_red_tie_and_white_shoes\000004.jpg,casual,jeans with red tie,white shoes,white,black
./image_dataset\men_wearing_casual_blazer_with_jeans_with_red_tie_and_white_shoes\000005.jpg,casual,jeans with red tie,white shoes,baby pink,black
./image_dataset\men_wearing_casual_blazer_with_jeans_with_tie\000001.jpg,casual,jeans with tie,,pale brown,brown
./image_dataset\men_wearing_casual_blazer_with_jeans_with_tie\000002.jpg,casual,jeans with tie,,white,baby pink
./image_dataset\men_wearing_casual_blazer_with_jeans_with_tie\000003.jpg,casual,jeans with tie,,black,black
./image_dataset\men_wearing_casual_blazer_with_jeans_with_tie\000004.jpg,casual,jeans with tie,,pale brown,baby pink
./image_dataset\men_wearing_casual_blazer_with_jeans_with_tie\000005.jpg,casual,jeans with tie,,black,white
./image_dataset\men_wearing_casual_blazer_with_jeans_with_white_shoes\000001.jpg,casual,,jeans with white shoes,beige,Blue
./image_dataset\men_wearing_casual_blazer_with_jeans_with_white_shoes\000002.jpg,casual,,jeans with white shoes,pale brown,baby pink
./image_dataset\men_wearing_casual_blazer_with_jeans_with_white_shoes\000003.jpg,casual,,jeans with white shoes,white,baby pink
./image_dataset\men_wearing_casual_blazer_with_jeans_with_white_shoes\000004.jpg,casual,,jeans with white shoes,black,baby pink
./image_dataset\men_wearing_casual_blazer_with_jeans_with_white_shoes\000005.jpg,casual,,jeans with white shoes,black,black
./image_dataset\men_wearing_casual_blazer_with_jeans_with_yellow_tie\000001.jpg,casual,jeans with yellow tie,,black,baby pink
./image_dataset\men_wearing_casual_blazer_with_jeans_with_yellow_tie_and_beige_shoes\000001.jpg,casual,jeans with yellow tie,beige shoes,baby pink,white
./image_dataset\men_wearing_casual_blazer_with_jeans_with_yellow_tie_and_beige_shoes\000002.jpg,casual,jeans with yellow tie,beige shoes,white,black
./image_dataset\men_wearing_casual_blazer_with_jeans_with_yellow_tie_and_beige_shoes\000003.jpg,casual,jeans with yellow tie,beige shoes,black,brown
./image_dataset\men_wearing_casual_blazer_with_jeans_with_yellow_tie_and_beige_shoes\000004.jpg,casual,jeans with yellow tie,beige shoes,white,brown
./image_dataset\men_wearing_casual_blazer_with_jeans_with_yellow_tie_and_beige_shoes\000005.jpg,casual,jeans with yellow tie,beige shoes,black,Blue
./image_dataset\men_wearing_casual_blazer_with_jeans_with_yellow_tie_and_black_shoes\000001.jpg,casual,jeans with yellow tie,black shoes,black,white
./image_dataset\men_wearing_casual_blazer_with_jeans_with_yellow_tie_and_black_shoes\000002.jpg,casual,jeans with yellow tie,black shoes,pale brown,baby pink
./image_dataset\men_wearing_casual_blazer_with_jeans_with_yellow_tie_and_black_shoes\000003.jpg,casual,jeans with yellow tie,black shoes,baby pink,white
./image_dataset\men_wearing_casual_blazer_with_jeans_with_yellow_tie_and_black_shoes\000004.jpg,casual,jeans with yellow tie,black shoes,black,brown
./image_dataset\men_wearing_casual_blazer_with_jeans_with_yellow_tie_and_black_shoes\000005.jpg,casual,jeans with yellow tie,black shoes,beige,baby pink
./image_dataset\men_wearing_casual_blazer_with_jeans_with_yellow_tie_and_brown_shoes\000001.jpg,casual,jeans with yellow tie,brown shoes,white,white
./image_dataset\men_wearing_casual_blazer_with_jeans_with_yellow_tie_and_brown_shoes\000002.jpg,casual,jeans with yellow tie,brown shoes,black,black
./image_dataset\men_wearing_casual_blazer_with_jeans_with_yellow_tie_and_brown_shoes\000003.jpg,casual,jeans with yellow tie,brown shoes,beige,baby pink
./image_dataset\men_wearing_casual_blazer_with_jeans_with_yellow_tie_and_brown_shoes\000004.jpg,casual,jeans with yellow tie,brown shoes,pale brown,black
./image_dataset\men_wearing_casual_blazer_with_jeans_with_yellow_tie_and_brown_shoes\000005.jpg,casual,jeans with yellow tie,brown shoes,beige,white
./image_dataset\men_wearing_casual_blazer_with_jeans_with_yellow_tie_and_grey_shoes\000001.jpg,casual,jeans with yellow tie,grey shoes,pale brown,baby pink
./image_dataset\men_wearing_casual_blazer_with_jeans_with_yellow_tie_and_grey_shoes\000002.jpg,casual,jeans with yellow tie,grey shoes,black,Blue
./image_dataset\men_wearing_casual_blazer_with_jeans_with_yellow_tie_and_grey_shoes\000003.jpg,casual,jeans with yellow tie,grey shoes,white,Blue
./image_dataset\men_wearing_casual_blazer_with_jeans_with_yellow_tie_and_grey_shoes\000004.jpg,casual,jeans with yellow tie,grey shoes,pale brown,brown
./image_dataset\men_wearing_casual_blazer_with_jeans_with_yellow_tie_and_grey_shoes\000005.jpg,casual,jeans with yellow tie,grey shoes,black,baby pink
./image_dataset\men_wearing_casual_blazer_with_jeans_with_yellow_tie_and_white_shoes\000001.jpg,casual,jeans with yellow tie,white shoes,beige,white
./image_dataset\men_wearing_casual_blazer_with_jeans_with_yellow_tie_and_white_shoes\000002.jpg,casual,jeans with yellow tie,white shoes,pale brown,Blue
./image_dataset\men_wearing_casual_blazer_with_jeans_with_yellow_tie_and_white_shoes\000003.jpg,casual,jeans with yellow tie,white shoes,baby pink,brown
./image_dataset\men_wearing_casual_blazer_with_jeans_with_yellow_tie_and_white_shoes\000004.jpg,casual,jeans with yellow tie,white shoes,pale brown,baby pink
./image_dataset\men_wearing_casual_blazer_with_jeans_with_yellow_tie_and_white_shoes\000005.jpg,casual,jeans with yellow tie,white shoes,black,Blue
./image_dataset\men_wearing_charcoal_grey_blazer_with_beige_shoes\000001.jpg,charcoal grey,,beige shoes,black,baby pink
./image_dataset\men_wearing_charcoal_grey_blazer_with_beige_shoes\000002.jpg,charcoal grey,,beige shoes,white,brown
./image_dataset\men_wearing_charcoal_grey_blazer_with_beige_shoes\000003.jpg,charcoal grey,,beige shoes,baby pink,white
./image_dataset\men_wearing_charcoal_grey_blazer_with_beige_shoes\000004.jpg,charcoal grey,,beige shoes,black,brown
./image_dataset\men_wearing_charcoal_grey_blazer_with_beige_shoes\000005.jpg,charcoal grey,,beige shoes,pale brown,white
./image_dataset\men_wearing_charcoal_grey_blazer_with_black_shoes\000001.jpg,charcoal grey,,black shoes,black,black
./image_dataset\men_wearing_charcoal_grey_blazer_with_black_shoes\000002.jpg,charcoal grey,,black shoes,beige,Blue
./image_dataset\men_wearing_charcoal_grey_blazer_with_black_shoes\000003.jpg,charcoal grey,,black shoes,black,black
./image_dataset\men_wearing_charcoal_grey_blazer_with_black_shoes\000004.jpg,charcoal grey,,black shoes,white,white
./image_dataset\men_wearing_charcoal_grey_blazer_with_black_shoes\000005.jpg,charcoal grey,,black shoes,white,baby pink
./image_dataset\men_wearing_charcoal_grey_blazer_with_blue_tie\000001.jpg,charcoal grey,blue tie,,black,white
./image_dataset\men_wearing_charcoal_grey_blazer_with_blue_tie\000002.jpg,charcoal grey,blue tie,,beige,white
./image_dataset\men_wearing_charcoal_grey_blazer_with_blue_tie\000003.jpg,charcoal grey,blue tie,,baby pink,baby pink
./image_dataset\men_wearing_charcoal_grey_blazer_with_blue_tie\000004.jpg,charcoal grey,blue tie,,pale brown,black
./image_dataset\men_wearing_charcoal_grey_blazer_with_blue_tie\000005.jpg,charcoal grey,blue tie,,baby pink,Blue
./image_dataset\men_wearing_charcoal_grey_blazer_with_blue_tie_and_beige_shoes\000001.jpg,charcoal grey,blue tie,beige shoes,beige,white
./image_dataset\men_wearing_charcoal_grey_blazer_with_blue_tie_and_beige_shoes\000002.jpg,charcoal grey,blue tie,beige shoes,black,white
./image_dataset\men_wearing_charcoal_grey_blazer_with_blue_tie_and_beige_shoes\000003.jpg,charcoal grey,blue tie,beige shoes,white,Blue
./image_dataset\men_wearing_charcoal_grey_blazer_with_blue_tie_and_beige_shoes\000004.jpg,charcoal grey,blue tie,beige shoes,black,white
./image_dataset\men_wearing_charcoal_grey_blazer_with_blue_tie_and_beige_shoes\000005.jpg,charcoal grey,blue tie,beige shoes,pale brown,Blue
./image_dataset\men_wearing_charcoal_grey_blazer_with_blue_tie_and_black_shoes\000001.jpg,charcoal grey,blue tie,black shoes,beige,Blue
./image_dataset\men_wearing_charcoal_grey_blazer_with_blue_tie_and_black_shoes\000002.jpg,charcoal grey,blue tie,black shoes,pale brown,Blue
./image_dataset\men_wearing_charcoal_grey_blazer_with_blue_tie_and_black_shoes\000003.jpg,charcoal grey,blue tie,black shoes,black,baby pink
./image_dataset\men_wearing_charcoal_grey_blazer_with_blue_tie_and_black_shoes\000004.jpg,charcoal grey,blue tie,black shoes,beige,black
./image_dataset\men_wearing_charcoal_grey_blazer_with_blue_tie_and_black_shoes\000005.jpg,charcoal grey,blue tie,black shoes,baby pink,black
./image_dataset\men_wearing_charcoal_grey_blazer_with_blue_tie_and_brown_shoes\000001.jpg,charcoal grey,blue tie,brown shoes,baby pink,brown
./image_dataset\men_wearing_charcoal_grey_blazer_with_blue_tie_and_brown_shoes\000002.jpg,charcoal grey,blue tie,brown shoes,black,baby pink
./image_dataset\men_wearing_charcoal_grey_blazer_with_blue_tie_and_brown_shoes\000003.jpg,charcoal grey,blue tie,brown shoes,black,brown
./image_dataset\men_wearing_charcoal_grey_blazer_with_blue_tie_and_brown_shoes\000004.jpg,charcoal grey,blue tie,brown shoes,white,black
./image_dataset\men_wearing_charcoal_grey_blazer_with_blue_tie_and_brown_shoes\000005.jpg,charcoal grey,blue tie,brown shoes,baby pink,black
./image_dataset\men_wearing_charcoal_grey_blazer_with_blue_tie_and_grey_shoes\000001.jpg,charcoal grey,blue tie,grey shoes,white,black
./image_dataset\men_wearing_charcoal_grey_blazer_with_blue_tie_and_grey_shoes\000002.jpg,charcoal grey,blue tie,grey shoes,black,white
./image_dataset\men_wearing_charcoal_grey_blazer_with_blue_tie_and_grey_shoes\000003.jpg,charcoal grey,blue tie,grey shoes,pale brown,brown
./image_dataset\men_wearing_charcoal_grey_blazer_with_blue_tie_and_grey_shoes\000004.jpg,charcoal grey,blue tie,grey shoes,beige,baby pink
./image_dataset\men_wearing_charcoal_grey_blazer_with_blue_tie_and_grey_shoes\000005.png,charcoal grey,blue tie,grey shoes,baby pink,brown
./image_dataset\men_wearing_charcoal_grey_blazer_with_blue_tie_and_white_shoes\000001.jpg,charcoal grey,blue tie,white shoes,beige,black
./image_dataset\men_wearing_charcoal_grey_blazer_with_blue_tie_and_white_shoes\000002.jpg,charcoal grey,blue tie,white shoes,white,baby pink
./image_dataset\men_wearing_charcoal_grey_blazer_with_blue_tie_and_white_shoes\000003.jpg,charcoal grey,blue tie,white shoes,white,brown
./image_dataset\men_wearing_charcoal_grey_blazer_with_blue_tie_and_white_shoes\000004.jpg,charcoal grey,blue tie,white shoes,black,black
./image_dataset\men_wearing_charcoal_grey_blazer_with_blue_tie_and_white_shoes\000005.jpg,charcoal grey,blue tie,white shoes,pale brown,black
./image_dataset\men_wearing_charcoal_grey_blazer_with_brown_shoes\000001.jpg,charcoal grey,,brown shoes,baby pink,baby pink
./image_dataset\men_wearing_charcoal_grey_blazer_with_brown_shoes\000002.png,charcoal grey,,brown shoes,baby pink,Blue
./image_dataset\men_wearing_charcoal_grey_blazer_with_brown_shoes\000003.jpg,charcoal grey,,brown shoes,white,baby pink
./image_dataset\men_wearing_charcoal_grey_blazer_with_brown_shoes\000004.jpg,charcoal grey,,brown shoes,pale brown,Blue
./image_dataset\men_wearing_charcoal_grey_blazer_with_brown_shoes\000005.jpg,charcoal grey,,brown shoes,beige,white
./image_dataset\men_wearing_charcoal_grey_blazer_with_green_tie\000001.jpg,charcoal grey,green tie,,baby pink,baby pink
./image_dataset\men_wearing_charcoal_grey_blazer_with_green_tie\000002.jpg,charcoal grey,green tie,,white,Blue
./image_dataset\men_wearing_charcoal_grey_blazer_with_green_tie\000003.jpg,charcoal grey,green tie,,black,brown
./image_dataset\men_wearing_charcoal_grey_blazer_with_green_tie\000004.jpg,charcoal grey,green tie,,black,black
./image_dataset\men_wearing_charcoal_grey_blazer_with_green_tie\000005.jpg,charcoal grey,green tie,,baby pink,white
./image_dataset\men_wearing_charcoal_grey_blazer_with_green_tie_and_beige_shoes\000001.jpg,charcoal grey,green tie,beige shoes,pale brown,baby pink
./image_dataset\men_wearing_charcoal_grey_blazer_with_green_tie_and_beige_shoes\000002.jpg,charcoal grey,green tie,beige shoes,black,Blue
./image_dataset\men_wearing_charcoal_grey_blazer_with_green_tie_and_beige_shoes\000003.jpg,charcoal grey,green tie,beige shoes,beige,brown
./image_dataset\men_wearing_charcoal_grey_blazer_with_green_tie_and_beige_shoes\000004.jpg,charcoal grey,green tie,beige shoes,black,Blue
./image_dataset\men_wearing_charcoal_grey_blazer_with_green_tie_and_beige_shoes\000005.jpg,charcoal grey,green tie,beige shoes,baby pink,baby pink
./image_dataset\men_wearing_charcoal_grey_blazer_with_green_tie_and_black_shoes\000001.jpg,charcoal grey,green tie,black shoes,black,Blue
./image_dataset\men_wearing_charcoal_grey_blazer_with_green_tie_and_black_shoes\000002.jpg,charcoal grey,green tie,black shoes,pale brown,baby pink
./image_dataset\men_wearing_charcoal_grey_blazer_with_green_tie_and_black_shoes\000003.jpg,charcoal grey,green tie,black shoes,black,Blue
./image_dataset\men_wearing_charcoal_grey_blazer_with_green_tie_and_black_shoes\000004.jpg,charcoal grey,green tie,black shoes,white,black
./image_dataset\men_wearing_charcoal_grey_blazer_with_green_tie_and_black_shoes\000005.jpg,charcoal grey,green tie,black shoes,black,baby pink
./image_dataset\men_wearing_charcoal_grey_blazer_with_green_tie_and_brown_shoes\000001.jpg,charcoal grey,green tie,brown shoes,beige,baby pink
./image_dataset\men_wearing_charcoal_grey_blazer_with_green_tie_and_brown_shoes\000002.jpg,charcoal grey,green tie,brown shoes,black,white
./image_dataset\men_wearing_charcoal_grey_blazer_with_green_tie_and_brown_shoes\000003.jpg,charcoal grey,green tie,brown shoes,beige,black
./image_dataset\men_wearing_charcoal_grey_blazer_with_green_tie_and_brown_shoes\000004.jpg,charcoal grey,green tie,brown shoes,beige,baby pink
./image_dataset\men_wearing_charcoal_grey_blazer_with_green_tie_and_brown_shoes\000005.jpg,charcoal grey,green tie,brown shoes,pale brown,brown
./image_dataset\men_wearing_charcoal_grey_blazer_with_green_tie_and_grey_shoes\000001.jpg,charcoal grey,green tie,grey shoes,white,Blue
./image_dataset\men_wearing_charcoal_grey_blazer_with_green_tie_and_grey_shoes\000002.jpg,charcoal grey,green tie,grey shoes,black,brown
./image_dataset\men_wearing_charcoal_grey_blazer_with_green_tie_and_grey_shoes\000003.jpg,charcoal grey,green tie,grey shoes,beige,Blue
./image_dataset\men_wearing_charcoal_grey_blazer_with_green_tie_and_grey_shoes\000004.jpg,charcoal grey,green tie,grey shoes,black,Blue
./image_dataset\men_wearing_charcoal_grey_blazer_with_green_tie_and_grey_shoes\000005.jpg,charcoal grey,green tie,grey shoes,pale brown,white
./image_dataset\men_wearing_charcoal_grey_blazer_with_green_tie_and_white_shoes\000001.jpg,charcoal grey,green tie,white shoes,black,baby pink
./image_dataset\men_wearing_charcoal_grey_blazer_with_green_tie_and_white_shoes\000002.jpg,charcoal grey,green tie,white shoes,beige,Blue
./image_dataset\men_wearing_charcoal_grey_blazer_with_green_tie_and_white_shoes\000003.jpg,charcoal grey,green tie,white shoes,pale brown,white
./image_dataset\men_wearing_charcoal_grey_blazer_with_green_tie_and_white_shoes\000004.jpg,charcoal grey,green tie,white shoes,black,brown
./image_dataset\men_wearing_charcoal_grey_blazer_with_green_tie_and_white_shoes\000005.jpg,charcoal grey,green tie,white shoes,baby pink,white
./image_dataset\men_wearing_charcoal_grey_blazer_with_grey_shoes\000001.jpg,charcoal grey,,grey shoes,white,brown
./image_dataset\men_wearing_charcoal_grey_blazer_with_grey_shoes\000002.jpg,charcoal grey,,grey shoes,black,baby pink
./image_dataset\men_wearing_charcoal_grey_blazer_with_grey_shoes\000003.jpg,charcoal grey,,grey shoes,white,Blue
./image_dataset\men_wearing_charcoal_grey_blazer_with_grey_shoes\000004.jpg,charcoal grey,,grey shoes,beige,black
./image_dataset\men_wearing_charcoal_grey_blazer_with_grey_shoes\000005.jpg,charcoal grey,,grey shoes,beige,brown
./image_dataset\men_wearing_charcoal_grey_blazer_with_purple_tie\000001.jpg,charcoal grey,purple tie,,beige,Blue
./image_dataset\men_wearing_charcoal_grey_blazer_with_purple_tie\000002.jpg,charcoal grey,purple tie,,white,black
./image_dataset\men_wearing_charcoal_grey_blazer_with_purple_tie\000003.jpg,charcoal grey,purple tie,,black,black
